,id,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_labelencoded,oheencoded_Bronx,oheencoded_Brooklyn,oheencoded_Manhattan,oheencoded_Queens,oheencoded_Staten Island,oheencoded_Entire home/apt,oheencoded_Hotel room,oheencoded_Private room,oheencoded_Shared room
0,2595,40.75356,-73.98559,150,30,49,314,129,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,5121,40.68535,-73.95512,60,30,50,365,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,5203,40.8038,-73.96751,75,2,118,0,204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,5178,40.76457,-73.98317,68,2,575,106,129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,5136,40.66265,-73.99454,275,60,3,181,192,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,29628,40.68292,-73.96381,93,3,350,145,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,5586,40.76076,-73.96156,295,4,45,1,203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,5803,40.66801,-73.98784,124,3,223,164,184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,31130,40.7672,-73.98464,200,1,68,310,97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,6848,40.70935,-73.95342,81,30,189,207,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,6872,40.80107,-73.94255,65,30,1,204,62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,67288,40.79544,-73.94836,250,28,47,81,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,31555,40.73405,-74.00281,120,30,32,0,211,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,67299,40.71516,-73.96448,160,30,74,77,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,31902,40.6327,-73.93184,80,30,4,0,61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,68253,40.76336,-73.92099,55,30,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16,6990,40.78778,-73.94759,62,30,243,249,62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17,31994,40.68818,-73.96383,100,2,532,289,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,32037,40.68513,-73.96648,139,30,93,364,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,7064,40.71248,-73.95881,95,7,13,0,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,68735,40.78846,-73.97459,215,14,36,184,204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,68900,40.73094,-73.95484,100,30,7,362,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
