# Final Model Performances

## Training set performance

model    selection     embed_selector      mae    mdae    msqe      r2    var-exp
-------  ------------  ----------------  -----  ------  ------  ------  ---------
knn      assoc         none              0.000   0.000   0.000   1.000      1.000
knn      embed_lgbm    lgbm              0.000   0.000   0.000   1.000      1.000
knn      pred          none              0.002   0.000   0.003   0.998      0.998
sgd      none          none              0.148   0.050   1.382  -0.000      0.008
rf       embed_linear  linear            0.148   0.070   1.306   0.055      0.055
rf       none          none              0.151   0.071   1.252   0.094      0.094
rf       assoc         none              0.151   0.074   1.269   0.082      0.082
sgd      pred          none              0.155   0.048   1.391  -0.006      0.006
lgbm     none          none              0.157   0.067   1.255   0.092      0.092
lgbm     embed_linear  linear            0.157   0.069   1.273   0.079      0.079
rf       pred          none              0.158   0.078   1.327   0.040      0.040
lgbm     pred          none              0.160   0.071   1.268   0.083      0.083
sgd      embed_linear  linear            0.160   0.074   1.378   0.003      0.007
lgbm     assoc         none              0.160   0.072   1.288   0.068      0.068
knn      none          none              0.160   0.065   1.048   0.242      0.242
rf       embed_lgbm    lgbm              0.165   0.095   1.317   0.047      0.048
sgd      assoc         none              0.168   0.096   1.373   0.007      0.007
sgd      embed_lgbm    lgbm              0.173   0.082   1.390  -0.006      0.002
dummy    wrap          none              0.174   0.083   1.393  -0.008      0.000
dummy    embed_lgbm    lgbm              0.174   0.083   1.393  -0.008      0.000
dummy    none          none              0.174   0.083   1.393  -0.008      0.000
dummy    pred          none              0.174   0.083   1.393  -0.008      0.000
dummy    embed_linear  linear            0.174   0.083   1.393  -0.008      0.000
dummy    assoc         none              0.174   0.083   1.393  -0.008      0.000
sgd      wrap          none              0.174   0.089   1.388  -0.004      0.001
knn      wrap          none              0.175   0.089   1.389  -0.005      0.000
lgbm     embed_lgbm    lgbm              0.177   0.091   1.264   0.085      0.085
elastic  embed_linear  linear            0.177   0.104   1.363   0.014      0.014
elastic  none          none              0.177   0.105   1.363   0.014      0.014
elastic  pred          none              0.178   0.108   1.366   0.012      0.012
elastic  assoc         none              0.182   0.113   1.368   0.011      0.011
rf       wrap          none              0.184   0.103   1.358   0.018      0.018
lgbm     wrap          none              0.185   0.105   1.362   0.015      0.015
knn      embed_linear  linear            0.191   0.090   1.326   0.041      0.041
elastic  embed_lgbm    lgbm              0.197   0.127   1.375   0.005      0.005
elastic  wrap          none              0.200   0.137   1.380   0.002      0.002

## Holdout set performance

model    selection     embed_selector      mae    mdae    msqe      r2    var-exp
-------  ------------  ----------------  -----  ------  ------  ------  ---------
sgd      none          none              0.147   0.051   1.845  -0.000      0.006
rf       embed_linear  linear            0.152   0.072   1.815   0.016      0.016
