<class 'tuple'> ('dummy', 'knn', 'lgbm', 'sgd', 'lr')
<class 'list'> ['knn', 'lgbm', 'rf', 'elastic', 'sgd', 'dummy']
<class 'list'> [<FeatureSelection.Filter: 'filter'>, <FeatureSelection.Embedded: 'embed'>, <FeatureSelection.Wrapper: 'wrap'>]
<class 'list'> [<EmbedSelectionModel.LGBM: 'lgbm'>, <EmbedSelectionModel.Linear: 'linear'>]
To silence these warnings, use `--verbosity=0`.
[]
Tuning Dummy Regressor for selection=none
Tuning Dummy Regressor for selection=assoc
Tuning Dummy Regressor for selection=pred
Tuning Dummy Regressor for selection=embed_lgbm
Tuning Dummy Regressor for selection=embed_linear
Tuning Dummy Regressor for selection=wrap
Tuning ElasticNet Regressor for selection=none
Tuning ElasticNet Regressor for selection=assoc
Tuning ElasticNet Regressor for selection=pred
Tuning ElasticNet Regressor for selection=embed_lgbm
Tuning ElasticNet Regressor for selection=embed_linear
Tuning ElasticNet Regressor for selection=wrap
Tuning K-Neighbours Regressor for selection=none
Tuning K-Neighbours Regressor for selection=assoc
Tuning K-Neighbours Regressor for selection=pred
Tuning K-Neighbours Regressor for selection=embed_lgbm
Tuning K-Neighbours Regressor for selection=embed_linear
Tuning K-Neighbours Regressor for selection=wrap
Tuning LightGBM Regressor for selection=none
Tuning LightGBM Regressor for selection=assoc
Tuning LightGBM Regressor for selection=pred
Tuning LightGBM Regressor for selection=embed_lgbm
Tuning LightGBM Regressor for selection=embed_linear
Tuning LightGBM Regressor for selection=wrap
Tuning LightGBM Random Forest Regressor for selection=none
Tuning LightGBM Random Forest Regressor for selection=assoc
Tuning LightGBM Random Forest Regressor for selection=pred
Tuning LightGBM Random Forest Regressor for selection=embed_lgbm
Tuning LightGBM Random Forest Regressor for selection=embed_linear
Tuning LightGBM Random Forest Regressor for selection=wrap
Tuning SGD Linear Regressor for selection=none
Tuning SGD Linear Regressor for selection=assoc
Tuning SGD Linear Regressor for selection=pred
Tuning SGD Linear Regressor for selection=embed_lgbm
Tuning SGD Linear Regressor for selection=embed_linear
Tuning SGD Linear Regressor for selection=wrap
# Final Model Performances

## Training set performance

model    selection     embed_selector      mae    mdae    msqe      r2    var-exp
-------  ------------  ----------------  -----  ------  ------  ------  ---------
knn      assoc         none              0.000   0.000   0.000   1.000      1.000
knn      embed_linear  linear            0.000   0.000   0.000   1.000      1.000
rf       assoc         none              0.147   0.069   0.835   0.089      0.090
lgbm     assoc         none              0.153   0.076   0.856   0.066      0.067
rf       none          none              0.153   0.075   0.832   0.093      0.093
rf       embed_linear  linear            0.154   0.077   0.848   0.075      0.075
lgbm     pred          none              0.155   0.074   0.837   0.088      0.088
sgd      embed_linear  linear            0.156   0.070   0.912   0.005      0.015
lgbm     embed_linear  linear            0.157   0.075   0.823   0.103      0.103
sgd      none          none              0.158   0.060   0.921  -0.004      0.010
sgd      pred          none              0.158   0.058   0.923  -0.006      0.009
lgbm     none          none              0.159   0.076   0.722   0.213      0.213
rf       pred          none              0.161   0.085   0.872   0.049      0.049
sgd      assoc         none              0.162   0.088   0.905   0.014      0.015
rf       embed_lgbm    lgbm              0.166   0.092   0.819   0.107      0.107
elastic  none          none              0.174   0.103   0.899   0.020      0.020
elastic  embed_linear  linear            0.174   0.103   0.899   0.020      0.020
elastic  assoc         none              0.174   0.103   0.899   0.020      0.020
elastic  pred          none              0.175   0.104   0.901   0.017      0.017
lgbm     embed_lgbm    lgbm              0.176   0.098   0.846   0.078      0.078
sgd      embed_lgbm    lgbm              0.179   0.086   0.929  -0.013      0.002
sgd      wrap          none              0.181   0.099   0.924  -0.008      0.001
dummy    assoc         none              0.181   0.094   0.927  -0.011      0.000
dummy    embed_linear  linear            0.181   0.094   0.927  -0.011      0.000
dummy    none          none              0.181   0.094   0.927  -0.011      0.000
dummy    pred          none              0.181   0.094   0.927  -0.011      0.000
dummy    wrap          none              0.181   0.094   0.927  -0.011      0.000
dummy    embed_lgbm    lgbm              0.181   0.094   0.927  -0.011      0.000
knn      none          none              0.185   0.088   0.825   0.100      0.100
knn      pred          none              0.186   0.098   0.854   0.069      0.069
rf       wrap          none              0.189   0.116   0.899   0.020      0.020
lgbm     wrap          none              0.192   0.119   0.894   0.026      0.026
knn      embed_lgbm    lgbm              0.196   0.105   0.877   0.044      0.044
elastic  embed_lgbm    lgbm              0.202   0.142   0.915   0.003      0.003
